condition,regime,wrong,trajectory,seed,B1_F,K1_F,B1_int,K1_int,B1_e,K1_e
0,B,False,0,17589777890202796842,0.985908,0.999440,0.885680,0.996567,0.698333,0.832429
0,B,False,1,12545602446374637349,0.999293,0.991169,0.981338,0.997160,0.376197,0.502805
0,B,False,2,11174791513762315072,0.980782,0.960903,0.925188,0.992446,0.906438,1.059699
0,B,False,3,15700661152455971531,0.423377,0.999963,0.830232,0.997194,1.337157,2.056811
0,B,False,4,2849086772100652466,0.209204,0.998567,0.706522,0.988433,2.147859,3.803720
0,B,False,5,319654008582080984,0.767326,0.990135,0.750413,0.990019,1.397695,1.710796
0,B,False,6,8268244998995483726,0.460203,0.992398,0.794149,0.994392,1.162501,1.838986
0,B,False,7,13101428384562279473,0.870789,0.998563,0.816292,0.998845,1.551524,1.884644
0,B,False,8,15106281664518893828,0.979182,0.996744,0.954636,0.997531,0.462417,0.579872
0,B,False,9,17049794065283541185,0.990571,0.991010,0.980278,0.998218,0.356059,0.456948
0,B,False,10,6938476609358270904,0.744315,0.982060,0.927143,0.996660,0.523673,0.669865
0,B,False,11,932074468377912656,0.981241,0.995101,0.875001,0.995313,1.206579,1.464993
0,B,False,12,5698988199802682754,0.991837,0.999513,0.953455,0.997535,0.428685,0.618294
0,B,False,13,10571818032137991554,0.996135,0.993282,0.963924,0.997030,0.360639,0.534357
0,B,False,14,4725273981579120888,0.898420,0.999311,0.948212,0.999669,0.543461,0.712625
0,B,False,15,18074791800128421472,0.972994,0.993868,0.978308,0.998183,0.333722,0.477851
0,B,False,16,8108913964183774458,0.990677,0.971774,0.931037,0.990393,0.583919,0.934442
0,B,False,17,10814800511765464997,0.930606,0.999992,0.951449,0.997295,0.446671,0.520096
0,B,False,18,7110857762768718238,0.885772,0.999772,0.950276,0.998568,0.538020,0.704018
0,B,False,19,18122741490306151171,0.931673,0.998709,0.871263,0.999652,1.052866,1.185030
0,B,False,20,1782068948177614150,0.441804,0.939490,0.753460,0.974141,1.058576,1.565485
0,B,False,21,4557996224056385523,0.108969,0.999693,0.854872,0.998600,1.446530,2.564900
0,B,False,22,1132005911200400028,0.179955,0.996729,0.612946,0.998887,2.777344,3.605687
0,B,False,23,7730768889055107054,0.815984,0.999849,0.928250,0.999619,0.641816,0.873138
0,B,False,24,15848388019018353447,0.860373,0.999061,0.902134,0.997090,0.693359,0.923246
0,B,False,25,4744690083744558053,0.819469,0.979701,0.960951,0.992860,0.412889,0.551880
0,B,False,26,8626063377622690844,0.982273,0.934561,0.911403,0.980941,1.045182,1.312322
0,B,False,27,8060564906719492303,0.856918,0.969869,0.947610,0.994915,0.569779,0.759454
0,B,False,28,7123470726733826419,0.644547,0.989473,0.807438,0.995201,1.152553,1.480780
0,B,False,29,1770034654292991051,0.632277,0.999890,0.607330,0.989424,2.840755,3.385619
0,B,False,30,14801622811215438738,0.737252,0.999507,0.937065,0.999454,0.607088,0.864581
0,B,False,31,2214622552619454761,0.907272,0.998750,0.894326,0.998354,0.816132,0.994243
0,B,False,32,5755291633769711074,0.956762,0.999554,0.921351,0.997335,0.575992,0.798381
0,B,False,33,13304235186759857948,0.320683,0.996832,0.607343,0.996900,2.703240,3.330413
0,B,False,34,2578939055252829052,0.963610,0.996540,0.936655,0.993964,0.459548,0.641301
0,B,False,35,6191461403071375039,0.316785,0.978389,0.864954,0.988673,0.870534,1.408883
0,B,False,36,6543691829881638348,0.998085,0.994682,0.954354,0.996891,0.564983,0.798822
0,B,False,37,16101867512422523573,0.595051,0.989011,0.884565,0.996866,0.812582,1.228828
0,B,False,38,16951867704495303409,0.519856,0.993746,0.726766,0.997706,1.883455,2.323872
0,B,False,39,18192567319657376557,0.982948,0.999515,0.959391,0.999635,0.367719,0.501356
0,B,False,40,131260324142521281,0.753294,0.996866,0.887079,0.994769,0.977535,1.318562
0,B,False,41,16756683041942224451,0.801593,0.997131,0.805320,0.997550,1.597170,1.799807
0,B,False,42,15549932082592990496,0.546827,0.976094,0.919284,0.996732,0.552325,0.976965
0,B,False,43,3717727507057356368,0.793994,0.989169,0.921218,0.994798,0.924661,1.312607
0,B,False,44,2171114357013988175,0.881855,0.996096,0.922552,0.996839,0.543692,0.744308
0,B,False,45,16226289625636856283,0.999311,0.997872,0.845756,0.996251,1.024027,1.274547
0,B,False,46,6117993287843793273,0.898654,0.972748,0.903719,0.988890,0.950947,1.257313
0,B,False,47,6890155756008470165,0.787073,0.970371,0.935762,0.980118,1.031533,1.298733
0,B,False,48,16573447064485743218,0.857179,0.956200,0.946242,0.982533,0.267814,0.422384
0,B,False,49,14250150111630836063,0.447918,0.999927,0.726141,0.999414,2.100523,2.739098
0,B,False,50,1002054071676831518,0.940780,0.991727,0.880672,0.997210,1.039314,1.338175
0,B,False,51,4628682506542645912,0.999027,0.998343,0.982123,0.999121,0.328405,0.357609
0,B,False,52,18216719114477938007,0.970377,0.949561,0.978553,0.986602,0.284527,0.444954
