condition,regime,wrong,trajectory,seed,B1_F,K1_F,B1_int,K1_int,B1_e,K1_e
0,B,False,0,17589777890202796842,0.060737,0.996759,0.360267,0.997702,3.836122,4.637465
0,B,False,1,12545602446374637349,0.223643,0.999486,0.512041,0.997550,5.054339,6.785103
0,B,False,2,11174791513762315072,0.630689,0.934770,0.781013,0.972419,1.368041,1.672963
0,B,False,3,15700661152455971531,0.700394,0.999893,0.882320,0.997452,0.786316,1.219785
0,B,False,4,2849086772100652466,0.122680,0.972181,0.535318,0.986338,3.912503,5.411923
0,B,False,5,319654008582080984,0.383634,0.999642,0.474184,0.998424,2.852523,3.352000
0,B,False,6,8268244998995483726,0.982121,0.990921,0.568001,0.991535,1.806675,2.187698
0,B,False,7,13101428384562279473,0.779496,0.986483,0.764473,0.992979,1.213394,1.752861
0,B,False,8,15106281664518893828,0.816108,0.993219,0.910497,0.992311,0.669773,1.121381
0,B,False,9,17049794065283541185,0.979197,0.999975,0.821991,0.996346,1.091422,1.490817
0,B,False,10,6938476609358270904,0.587995,0.984332,0.779091,0.991827,0.988825,1.223387
0,B,False,11,932074468377912656,0.099104,1.000000,0.602830,0.996542,2.377592,3.076280
0,B,False,12,5698988199802682754,0.737932,0.961097,0.576849,0.989005,2.137990,2.613157
0,B,False,13,10571818032137991554,0.978096,0.991671,0.937568,0.997221,0.547720,0.894728
0,B,False,14,4725273981579120888,0.991508,0.995377,0.970107,0.998453,0.408701,0.477216
0,B,False,15,18074791800128421472,0.000239,0.973872,0.867084,0.989628,0.862807,2.082815
0,B,False,16,8108913964183774458,0.859578,0.999723,0.839562,0.995955,1.102662,1.340769
0,B,False,17,10814800511765464997,0.251119,0.997924,0.683821,0.996487,1.584423,2.144302
0,B,False,18,7110857762768718238,0.708731,0.999731,0.891348,0.998970,0.799655,1.015287
0,B,False,19,18122741490306151171,0.951055,0.997182,0.637044,0.998637,1.784557,2.096440
0,B,False,20,1782068948177614150,0.971012,0.939241,0.922167,0.976375,0.869754,1.093838
0,B,False,21,4557996224056385523,0.957658,0.993954,0.872247,0.998934,0.817029,1.160093
0,B,False,22,1132005911200400028,0.299992,0.996712,0.616068,0.999473,2.042562,2.737625
0,B,False,23,7730768889055107054,0.894450,0.997308,0.708341,0.997501,1.519667,1.908420
0,B,False,24,15848388019018353447,0.757729,0.999920,0.684259,0.997164,1.595971,1.795274
0,B,False,25,4744690083744558053,0.843896,0.991918,0.480849,0.983376,2.340326,2.598993
0,B,False,26,8626063377622690844,0.007234,0.872974,0.235871,0.942252,3.231274,4.095383
0,B,False,27,8060564906719492303,0.007699,0.961558,0.552753,0.979543,2.533107,3.648597
0,B,False,28,7123470726733826419,0.069855,0.997258,0.495191,0.997680,4.179520,5.435563
0,B,False,29,1770034654292991051,0.562394,0.993968,0.656610,0.993926,1.959044,2.336777
0,B,False,30,14801622811215438738,0.770797,0.998817,0.909640,0.999233,0.638278,0.984574
0,B,False,31,2214622552619454761,0.990550,0.998860,0.734974,0.998846,1.432507,1.809015
0,B,False,32,5755291633769711074,0.037660,0.998995,0.423007,0.997462,3.693007,4.626625
0,B,False,33,13304235186759857948,0.066048,0.968991,0.225606,0.993949,5.076258,5.746596
0,B,False,34,2578939055252829052,0.602674,0.954813,0.879555,0.992745,0.625753,0.860994
0,B,False,35,6191461403071375039,0.179658,0.999801,0.808311,0.993756,1.054401,1.633928
0,B,False,36,6543691829881638348,0.994118,0.996082,0.977055,0.991273,0.382247,0.477734
0,B,False,37,16101867512422523573,0.564141,0.999952,0.491120,0.998135,2.611865,2.982601
0,B,False,38,16951867704495303409,0.442421,0.985322,0.597131,0.997959,2.443052,2.972488
0,B,False,39,18192567319657376557,0.627895,0.970381,0.887914,0.994219,0.615671,0.851530
0,B,False,40,131260324142521281,0.073184,0.998886,0.613820,0.999128,2.206375,3.250350
0,B,False,41,16756683041942224451,0.959442,0.967264,0.704362,0.992869,1.681047,2.281295
0,B,False,42,15549932082592990496,0.798975,0.982891,0.865352,0.995041,0.881587,1.364698
0,B,False,43,3717727507057356368,0.825527,0.992795,0.814942,0.989132,0.877139,1.111586
0,B,False,44,2171114357013988175,0.004803,0.984212,0.417077,0.986612,3.561019,4.470874
0,B,False,45,16226289625636856283,0.996377,0.989135,0.966994,0.996491,0.463707,0.499022
0,B,False,46,6117993287843793273,0.907964,0.976752,0.901963,0.979788,0.580720,0.884155
0,B,False,47,6890155756008470165,0.555859,0.994210,0.930883,0.986948,0.839910,1.222200
0,B,False,48,16573447064485743218,0.996880,0.999341,0.838040,0.991223,1.213805,1.506454
0,B,False,49,14250150111630836063,0.999644,0.995073,0.768579,0.998766,1.281865,1.518321
0,B,False,50,1002054071676831518,0.986076,0.999554,0.929290,0.999076,0.589336,0.796862
0,B,False,51,4628682506542645912,0.791781,0.986470,0.904959,0.995948,0.705947,0.866970
0,B,False,52,18216719114477938007,0.000558,0.911112,0.479472,0.953523,2.070535,2.894991
0,B,False,53,8525249328655299666,0.678663,0.999213,0.646902,0.992648,1.636085,2.200273
0,B,False,54,13464204517152056085,0.120928,0.999996,0.594819,0.997630,2.561290,3.287261
0,B,False,55,4586097293512840890,0.477818,0.997801,0.892498,0.994740,0.965276,1.438591
0,B,False,56,11865984228913288277,0.403086,0.995361,0.791829,0.996757,1.276132,1.937455
0,B,False,57,18433315942916534683,0.832298,0.999962,0.829153,0.997687,1.009080,1.408005
0,B,False,58,14203592199566012085,0.793595,0.999388,0.878702,0.996575,0.894942,1.248763
0,B,False,59,14622402754046566671,0.367266,0.986525,0.479419,0.997003,3.538356,4.887343
0,B,False,60,4615731072374699158,0.702943,0.962153,0.534274,0.992892,2.353341,2.799331
0,B,False,61,593095418841398297,0.006012,0.999724,0.579583,0.985946,3.072177,4.171357
0,B,False,62,14574386754041982706,0.664423,0.972711,0.571112,0.995807,2.769110,3.173735
0,B,False,63,18020331819541264556,0.983208,0.999996,0.659778,0.998680,14.700301,18.502132
0,B,False,64,14291968845027809219,0.023947,0.993081,0.421243,0.991845,5.425887,6.794316
0,B,False,65,189373932083208134,0.090888,0.969631,0.767196,0.992926,1.157220,1.791876
0,B,False,66,15253211940323626555,0.531799,0.996163,0.775352,0.998777,1.191201,1.692826
0,B,False,67,16351628183831674080,0.894882,0.974579,0.907221,0.986990,0.575071,1.005215
0,B,False,68,2590678532341232553,0.710625,0.944684,0.785940,0.975710,0.902658,1.381597
0,B,False,69,9961890938728407477,0.578491,0.947366,0.807739,0.973723,1.721864,2.070593
0,B,False,70,8737477274693781309,0.995436,0.955488,0.945124,0.983940,0.509369,0.651123
