t,shifted,generation,policy,mode,trusted,reward,regret_v02,regret_b1,adv_v02_vs_b1
0,0,0,HYBRID,DEPLOY,1,0.891784688262098,0.0,0.09904168047175765,0.09904168047175765
1,0,0,HYBRID,DEPLOY,1,0.908390852684359,0.0,0.026966228561408068,0.026966228561408068
2,0,0,B1,DEPLOY,1,0.8068747715062266,0.0,0.0,0.0
3,0,0,LOCAL,DEPLOY,1,0.755487801907573,0.05344979210512302,0.01588532452353697,-0.03756446758158605
4,0,0,HYBRID,DEPLOY,1,0.9194918043907557,0.0,0.0391153100027023,0.0391153100027023
5,0,0,GLOBAL,DEPLOY,1,0.8583386350622668,0.053704776413504796,0.04977408174037101,-0.003930694673133783
6,0,0,LOCAL,DEPLOY,1,0.8200733574216491,0.0,0.005866769756159185,0.005866769756159185
7,0,0,HYBRID,DEPLOY,1,0.8521796833739312,0.0,0.04588753007832447,0.04588753007832447
8,0,0,B1,DEPLOY,1,0.8593499174885773,0.0007436661840390935,0.0007436661840390935,0.0
9,0,0,GLOBAL,DEPLOY,1,0.8475148774178137,0.0,0.0011266905536370109,0.0011266905536370109
10,0,0,B1,DEPLOY,1,0.8404008240806262,0.0,0.0,0.0
11,0,0,LOCAL,DEPLOY,1,0.7726351200428815,0.04040658830954569,0.05894280236072513,0.018536214051179445
12,0,0,LOCAL,DEPLOY,1,0.8915176586147778,0.0264459532018666,0.07395800384593665,0.04751205064407005
13,0,0,GLOBAL,DEPLOY,1,0.829002595648654,0.024111768110615994,0.0,-0.024111768110615994
14,0,0,B1,DEPLOY,1,0.8058692984253146,0.0,0.0,0.0
15,0,0,HYBRID,DEPLOY,1,0.8872264036106888,0.0,0.06014873907630636,0.06014873907630636
16,0,0,LOCAL,DEPLOY,1,0.7991621699241057,0.024492050833454515,0.0,-0.024492050833454515
17,0,0,HYBRID,DEPLOY,1,0.8125963245624134,0.0,0.032546886220941595,0.032546886220941595
18,0,0,HYBRID,DEPLOY,1,0.9027993365827301,0.0,0.09163044524873787,0.09163044524873787
19,0,0,LOCAL,DEPLOY,1,0.9207616657204086,0.0,0.057406107327201195,0.057406107327201195
20,0,0,GLOBAL,DEPLOY,1,0.8768828164500525,0.0,0.06898871987118682,0.06898871987118682
21,0,0,LOCAL,DEPLOY,1,0.8745365181725748,0.0,0.08467607558884582,0.08467607558884582
22,0,0,HYBRID,DEPLOY,1,0.9653248446420548,0.0,0.1343014833463274,0.1343014833463274
23,0,0,LOCAL,DEPLOY,1,0.8830055180027144,0.0,0.05857355606789516,0.05857355606789516
24,0,0,HYBRID,LEARN_UCB,1,0.8193195539026344,0.0,0.0405954381328707,0.0405954381328707
25,0,0,HYBRID,DEPLOY,1,0.8832806753438767,0.0,0.0239413610677639,0.0239413610677639
26,0,0,B1,DEPLOY,1,0.8648633967990739,0.0,0.0,0.0
27,0,0,HYBRID,DEPLOY,1,0.8758251870852016,0.0,0.04634333010768399,0.04634333010768399
28,0,0,LOCAL,DEPLOY,1,0.7915521912737428,0.062491828372932434,0.04955567111004788,-0.012936157262884551
29,0,0,B1,DEPLOY,1,0.8555984989081097,0.0,0.0,0.0
30,0,0,B1,DEPLOY,1,0.8100158886487315,0.0,0.0,0.0
31,0,0,HYBRID,DEPLOY,1,0.9087546418056541,0.0,0.08296644699158395,0.08296644699158395
32,0,0,HYBRID,DEPLOY,1,0.9801165979240363,0.0,0.11549948495718099,0.11549948495718099
33,0,0,B1,DEPLOY,1,0.8858442685442871,0.0,0.0,0.0
34,0,0,HYBRID,DEPLOY,1,0.8729777880389026,0.0,0.056295925387760626,0.056295925387760626
35,0,0,HYBRID,DEPLOY,1,1.0,0.0,0.13974212344019554,0.13974212344019554
