t,b1_policy,v01_policy,v02_policy,v02_mode,regret_b1,regret_v01,regret_v02,adv_v02_vs_b1,adv_v02_vs_v01
0,B1,B1,HYBRID,DEPLOY,0.12411318517265191,0.12411318517265191,0.0,0.12411318517265191,0.12411318517265191
1,B1,GLOBAL,GLOBAL,DEPLOY,0.010457971547767841,0.0,0.0,0.010457971547767841,0.0
2,B1,HYBRID,HYBRID,DEPLOY,0.04584955314496164,0.0,0.0,0.04584955314496164,0.0
3,B1,B1,GLOBAL,DEPLOY,0.09590547402429461,0.09590547402429461,0.04749755358679175,0.04840792043750286,0.04840792043750286
4,B1,B1,HYBRID,DEPLOY,0.04328973188323504,0.04328973188323504,0.0,0.04328973188323504,0.04328973188323504
5,B1,B1,HYBRID,DEPLOY,0.05654570252672153,0.05654570252672153,0.0,0.05654570252672153,0.05654570252672153
6,B1,B1,HYBRID,DEPLOY,0.08068629099444335,0.08068629099444335,0.0,0.08068629099444335,0.08068629099444335
7,B1,B1,B1,LEARN_UCB,0.0,0.0,0.0,0.0,0.0
8,B1,B1,B1,DEPLOY,0.007631984800009484,0.007631984800009484,0.007631984800009484,0.0,0.0
9,B1,B1,GLOBAL,DEPLOY,0.010877700976609228,0.010877700976609228,0.0,0.010877700976609228,0.010877700976609228
10,B1,B1,LOCAL,LEARN_UCB,0.06115618035615056,0.06115618035615056,0.0050592817779987476,0.05609689857815181,0.05609689857815181
11,B1,B1,HYBRID,DEPLOY,0.06645362900357643,0.06645362900357643,0.0,0.06645362900357643,0.06645362900357643
12,B1,HYBRID,HYBRID,DEPLOY,0.05168352250117714,0.0,0.0,0.05168352250117714,0.0
13,B1,B1,HYBRID,LEARN_UCB,0.01614935728217004,0.01614935728217004,0.0,0.01614935728217004,0.01614935728217004
14,B1,B1,HYBRID,DEPLOY,0.09027519432130704,0.09027519432130704,0.0,0.09027519432130704,0.09027519432130704
15,B1,B1,HYBRID,DEPLOY,0.05318041521696337,0.05318041521696337,0.0,0.05318041521696337,0.05318041521696337
16,B1,B1,HYBRID,DEPLOY,0.02610179754430797,0.02610179754430797,0.0,0.02610179754430797,0.02610179754430797
17,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
18,B1,B1,B1,DEPLOY,0.002596753379372929,0.002596753379372929,0.002596753379372929,0.0,0.0
19,B1,B1,LOCAL,DEPLOY,0.0,0.0,0.0205070400593913,-0.0205070400593913,-0.0205070400593913
20,B1,B1,HYBRID,DEPLOY,0.12439943480617566,0.12439943480617566,0.0,0.12439943480617566,0.12439943480617566
21,B1,LOCAL,HYBRID,DEPLOY,0.09551682317803689,0.07167804567323277,0.0,0.09551682317803689,0.07167804567323277
