t,shifted,generation,policy,mode,trusted,reward,regret_v02,regret_b1,adv_v02_vs_b1
0,0,0,B1,DEPLOY,1,0.8014756292579469,0.04267011723790859,0.04267011723790859,0.0
1,0,0,HYBRID,DEPLOY,1,0.8851735055217829,0.0,0.06117747148754049,0.06117747148754049
2,0,0,HYBRID,DEPLOY,1,0.9142236792295702,0.0,0.028929081337848106,0.028929081337848106
3,0,0,LOCAL,DEPLOY,1,0.8064360122802443,0.04071458094197555,0.09240049817937401,0.05168591723739846
4,0,0,GLOBAL,DEPLOY,1,0.9029821403083693,0.05765259891664898,0.07950006025873968,0.0218474613420907
5,0,0,LOCAL,DEPLOY,1,0.9069384573838563,0.0,0.0886118152741997,0.0886118152741997
6,0,0,B1,DEPLOY,1,0.7566017593345167,0.0,0.0,0.0
7,0,0,HYBRID,DEPLOY,1,0.9972595104679377,0.0,0.09428807541825523,0.09428807541825523
8,0,0,HYBRID,DEPLOY,1,0.9460123612124794,0.0,0.07361935945142195,0.07361935945142195
9,0,0,B1,DEPLOY,1,0.9121370524520562,0.0,0.0,0.0
10,0,0,HYBRID,DEPLOY,1,0.949185847498953,0.0,0.08455119984969295,0.08455119984969295
11,0,0,B1,DEPLOY,1,0.8742004287041975,0.0,0.0,0.0
12,0,0,HYBRID,DEPLOY,1,0.8616056495650549,0.0,0.09737111560545086,0.09737111560545086
13,0,0,HYBRID,DEPLOY,1,0.9788814036595701,0.0,0.07732071845799227,0.07732071845799227
14,0,0,B1,DEPLOY,1,0.8200873385835216,0.0,0.0,0.0
15,0,0,GLOBAL,DEPLOY,1,0.7833615249870676,0.022624315763404734,0.02529785229021586,0.0026735365268111266
16,0,0,B1,DEPLOY,1,0.8037165411735793,0.0,0.0,0.0
17,0,0,HYBRID,DEPLOY,1,0.9665637175404197,0.0,0.11803052522590607,0.11803052522590607
18,0,0,B1,DEPLOY,1,0.8563812988276036,0.0,0.0,0.0
19,0,0,HYBRID,DEPLOY,1,0.9603936024980514,0.0,0.08641418016783897,0.08641418016783897
20,0,0,HYBRID,DEPLOY,1,0.8978899044883144,0.0,0.03347531666776837,0.03347531666776837
21,0,0,B1,DEPLOY,1,0.8671322626982598,0.0,0.0,0.0
22,0,0,GLOBAL,DEPLOY,1,0.9309737681612473,0.0,0.09751838173442484,0.09751838173442484
23,0,0,B1,DEPLOY,1,0.9149390855034962,0.0,0.0,0.0
24,0,0,HYBRID,DEPLOY,1,0.8778784688397903,0.0,0.032232178747923834,0.032232178747923834
25,0,0,HYBRID,DEPLOY,1,1.0,0.0,0.10927897988351976,0.10927897988351976
26,0,0,B1,DEPLOY,1,0.896926746666106,0.0,0.0,0.0
27,0,0,HYBRID,DEPLOY,1,0.9240056740081946,0.0,0.10771900676631707,0.10771900676631707
28,0,0,B1,DEPLOY,1,0.8133737976524709,0.0,0.0,0.0
29,0,0,LOCAL,DEPLOY,1,0.7426662901236931,0.04103958185993617,0.0,-0.04103958185993617
30,0,0,HYBRID,DEPLOY,1,1.0,0.0,0.14534821251024832,0.14534821251024832
31,0,0,B1,DEPLOY,1,0.8751820506179455,0.0,0.0,0.0
32,0,0,HYBRID,DEPLOY,1,1.0,0.0,0.13526126529494187,0.13526126529494187
33,0,0,HYBRID,DEPLOY,1,0.9221940212146459,0.0,0.08293302721224627,0.08293302721224627
34,0,0,HYBRID,DEPLOY,1,0.8934088832591116,0.043952639766071666,0.09011710531523465,0.04616446554916298
35,0,0,B1,DEPLOY,1,0.8544757142381304,0.0,0.0,0.0
36,0,0,B1,DEPLOY,1,0.9456162492737095,0.0,0.0,0.0
37,0,0,LOCAL,DEPLOY,1,0.8765696780209066,0.0,0.044364850633213826,0.044364850633213826
38,0,0,B1,DEPLOY,1,0.7968629983679011,0.0,0.0,0.0
39,0,0,HYBRID,DEPLOY,1,0.8923935387541165,0.0,0.0609567202127026,0.0609567202127026
40,0,0,HYBRID,DEPLOY,1,0.8647931217852531,0.0,0.09308904820150088,0.09308904820150088
41,0,0,LOCAL,DEPLOY,1,0.8251409701808808,0.0,0.02074491474654916,0.02074491474654916
42,0,0,LOCAL,DEPLOY,1,0.923551787756541,0.0,0.07400694131868435,0.07400694131868435
43,0,0,HYBRID,DEPLOY,1,0.9703852001532492,0.0,0.08924407023270986,0.08924407023270986
44,0,0,HYBRID,DEPLOY,1,0.8563881713897209,0.03781729914314569,0.06887362200905878,0.03105632286591309
45,0,0,B1,DEPLOY,1,0.9029610600873421,0.0,0.0,0.0
46,0,0,LOCAL,DEPLOY,1,0.8115422440198357,0.013247911664859835,0.0,-0.013247911664859835
47,0,0,LOCAL,DEPLOY,1,0.8903302511153126,0.0,0.09920023184938576,0.09920023184938576
48,0,0,B1,DEPLOY,1,0.9215600813643877,0.0,0.0,0.0
49,0,0,B1,DEPLOY,1,0.8626654324701675,0.0,0.0,0.0
50,0,0,HYBRID,DEPLOY,1,0.9001209759306623,0.0,0.056614546789633846,0.056614546789633846
51,0,0,HYBRID,DEPLOY,1,0.8848627628147201,0.0,0.07296076336991109,0.07296076336991109
52,0,0,GLOBAL,DEPLOY,1,0.8254591629146086,0.0,0.046353600974327724,0.046353600974327724
53,0,0,LOCAL,DEPLOY,1,0.8399067260319171,0.018359062393793257,0.0,-0.018359062393793257
54,0,0,LOCAL,DEPLOY,1,0.7730199680243224,0.023822509400976855,0.0,-0.023822509400976855
55,0,0,HYBRID,DEPLOY,1,0.9987337140824756,0.0,0.1318692932853751,0.1318692932853751
56,0,0,B1,DEPLOY,1,0.8329869777492013,0.0,0.0,0.0
57,0,0,B1,DEPLOY,1,0.825499401611294,0.0,0.0,0.0
58,0,0,GLOBAL,DEPLOY,1,0.8383216660580991,0.020027638095834188,0.01780933810296592,-0.0022182999928682667
59,0,0,GLOBAL,DEPLOY,1,0.8681580267899123,0.004396346052866873,0.0749105835127315,0.07051423745986463
60,0,0,B1,DEPLOY,1,0.8560367708926212,0.0,0.0,0.0
61,0,0,B1,DEPLOY,1,0.8944092741317304,0.0,0.0,0.0
62,0,0,HYBRID,DEPLOY,1,0.8823479179983383,0.0,0.04425641259523205,0.04425641259523205
63,0,0,HYBRID,DEPLOY,1,0.9194187675211377,0.0,0.06112852521242529,0.06112852521242529
64,0,0,HYBRID,DEPLOY,1,0.8594835228824602,0.0,0.06391670073812716,0.06391670073812716
65,0,0,HYBRID,DEPLOY,1,0.9667708832837537,0.0,0.1285572480070022,0.1285572480070022
66,0,0,HYBRID,DEPLOY,1,0.9392036791201126,0.0,0.11668852090450332,0.11668852090450332
67,0,0,GLOBAL,LEARN_UCB,1,0.838711485037711,0.0,0.05845358536562417,0.05845358536562417
68,0,0,LOCAL,DEPLOY,1,0.8673866009453157,0.0,0.0483033876937643,0.0483033876937643
69,0,0,LOCAL,DEPLOY,1,0.8917843428739497,0.0,0.10833792826770794,0.10833792826770794
70,0,0,HYBRID,DEPLOY,1,1.0,0.0,0.13244805215302957,0.13244805215302957
71,0,0,HYBRID,DEPLOY,1,0.9681598136167351,0.0,0.07356181898365144,0.07356181898365144
