t,policy,mode,reward,prototype_id
0,B1,NO_MEMORY,0.8564395188311377,0
1,B1,OUT_OF_REGION,0.8156072929387749,1
2,B1,OUT_OF_REGION,0.7494045212520064,2
3,GLOBAL,LEARN_COVERAGE,0.8983335040803796,1
4,B1,OUT_OF_REGION,0.8533807054474527,3
5,GLOBAL,LEARN_COVERAGE,0.8102958741815439,0
6,LOCAL,LEARN_COVERAGE,0.6729371451564201,1
7,GLOBAL,LEARN_COVERAGE,0.6627836394467594,3
8,B1,OUT_OF_REGION,0.740393811884688,4
9,GLOBAL,LEARN_COVERAGE,0.6181845466548289,4
10,LOCAL,LEARN_COVERAGE,0.6789210907513976,3
11,LOCAL,LEARN_COVERAGE,0.7255777113080534,0
12,HYBRID,LEARN_COVERAGE,0.7590189603934713,3
13,B1,LEARN_COVERAGE,0.8528831026173129,3
14,HYBRID,LEARN_COVERAGE,0.8737822155803923,1
15,GLOBAL,LEARN_COVERAGE,0.8418698245242493,1
16,LOCAL,LEARN_COVERAGE,0.9131690785815999,4
17,HYBRID,LEARN_COVERAGE,0.9431381367301936,0
18,HYBRID,LEARN_COVERAGE,0.8498211998946373,1
19,HYBRID,LEARN_COVERAGE,0.9965362693750053,0
20,B1,OUT_OF_REGION,0.8148963266765299,5
21,GLOBAL,LEARN_COVERAGE,0.6472622456575847,2
22,GLOBAL,LEARN_COVERAGE,0.7083574114336307,5
23,B1,LEARN_COVERAGE,0.839652186193914,0
24,HYBRID,LEARN_COVERAGE,0.7662565301690848,3
25,LOCAL,LEARN_COVERAGE,0.6983378335212644,3
26,LOCAL,LEARN_COVERAGE,0.6489281174936723,5
27,GLOBAL,LEARN_COVERAGE,0.6907236564470965,3
28,HYBRID,LEARN_COVERAGE,0.8807646308669832,4
29,GLOBAL,LEARN_COVERAGE,0.7648901977440405,0
30,B1,OUT_OF_REGION,0.8262494379347253,6
31,HYBRID,LEARN_COVERAGE,0.8184511880279187,5
32,HYBRID,LEARN_COVERAGE,0.7622525945729433,5
33,B1,LEARN_COVERAGE,0.8042027169780208,5
34,LOCAL,LEARN_COVERAGE,0.8188232737935293,2
35,HYBRID,LEARN_COVERAGE,0.7741411515577218,2
